,id_x,release_date_x,movie,production_budget,domestic_gross_x,worldwide_gross,release_year,title,studio,foreign_gross,year,genre_ids,original_language,original_title,popularity,vote_average,vote_count
493,56,2016-05-20,Neighbors 2: Sorority Rising,35000000.0,55340730.0,108757621.0,2016,Neighbors 2: Sorority Rising,Uni.,52600000.0,2016,[35],en,Neighbors 2: Sorority Rising,17.662,5.7,2829
494,59,2018-06-29,Sicario: Day of the Soldado,35000000.0,50065850.0,75885196.0,2018,Sicario: Day of the Soldado,Sony,25800000.0,2018,"[28, 80, 18, 53]",en,Sicario: Day of the Soldado,29.725,6.7,1317
495,63,2018-10-12,Goosebumps 2: Haunted Halloween,35000000.0,46697321.0,93291478.0,2018,Goosebumps 2: Haunted Halloween,Sony,46600000.0,2018,"[12, 35, 14, 10751, 27]",en,Goosebumps 2: Haunted Halloween,20.238,5.6,428
496,64,2018-01-19,12 Strong,35000000.0,45819713.0,71118378.0,2018,12 Strong,WB,21600000.0,2018,"[10752, 18, 36, 28]",en,12 Strong,13.183,5.6,1312
497,72,2011-05-06,Something Borrowed,35000000.0,39046489.0,65084116.0,2011,Something Borrowed,WB,21100000.0,2011,"[35, 18, 10749]",en,Something Borrowed,7.567,6.1,591
498,74,2011-10-28,In Time,35000000.0,37553932.0,165103952.0,2011,In Time,Fox,136400000.0,2011,"[28, 53, 878]",en,In Time,18.912,6.8,6245
499,76,2011-11-09,J. Edgar,35000000.0,37306030.0,84606030.0,2011,J. Edgar,WB,47600000.0,2011,"[18, 80, 36]",en,J. Edgar,8.628,6.2,1303
500,78,2018-08-17,Mile 22,35000000.0,36108758.0,66295121.0,2018,Mile 22,STX,30200000.0,2018,[28],en,Mile 22,21.246,6.0,920
501,79,2015-05-08,Hot Pursuit,35000000.0,34580201.0,45671512.0,2015,Hot Pursuit,WB (NL),17100000.0,2015,"[28, 35, 80]",en,Hot Pursuit,9.607000000000001,5.6,1000
502,81,2017-10-13,The Foreigner,35000000.0,34393507.0,140783360.0,2017,The Foreigner,STX,111000000.0,2017,"[28, 53, 18]",en,The Foreigner,14.616,6.7,1086
503,81,2017-10-13,The Foreigner,35000000.0,34393507.0,140783360.0,2017,The Foreigner,STX,111000000.0,2017,"[28, 53, 18]",en,The Foreigner,14.616,6.7,1086
504,89,2018-06-01,Adrift,35000000.0,31445011.0,57897191.0,2018,Adrift,STX,28500000.0,2018,[99],en,Adrift,0.6,7.0,1
505,89,2018-06-01,Adrift,35000000.0,31445011.0,57897191.0,2018,Adrift,STX,28500000.0,2018,"[53, 10749, 12]",en,Adrift,16.785999999999998,6.7,1264
